"REF_AREA","FREQ","MEASURE","TIME_PERIOD","PRICE_BASE","BASE_PER","CURRENCY","OBS_VALUE"
"FRA","A","ECRATE",2018,"Q",2023,"EUR",84.107719
"BEL","A","MPERPRI",2023,"Q",2023,"EUR",27.4361
"BEL","A","MPERPRI",2021,"Q",2023,"EUR",20.067879
"BEL","A","MPERPRI",2018,"Q",2023,"EUR",7.2934008
"BEL","A","NETECR",2023,"Q",2023,"EUR",72.73761
"BEL","A","NETECR",2021,"Q",2023,"EUR",69.808418
"BEL","A","NETECR",2018,"Q",2023,"EUR",65.369736
"FRA","A","FUETAX",2023,"Q",2023,"EUR",53.62772
"BEL","A","SUBSID",2023,"Q",2023,"EUR",-1.2657231
"BEL","A","SUBSID",2021,"Q",2023,"EUR",-1.21813
"BEL","A","SUBSID",2018,"Q",2023,"EUR",-0.95248985
"FRA","A","NETECR",2023,"Q",2023,"EUR",46.355072
"FRA","A","NETECR",2021,"Q",2023,"EUR",89.542297
"FRA","A","NETECR",2018,"Q",2023,"EUR",84.107719
"BEL","A","ECRATE",2023,"Q",2023,"EUR",74.003334
"BEL","A","ECRATE",2021,"Q",2023,"EUR",71.02655
"GBR","A","SUBSID",2023,"Q",2023,"GBP",-43.362339
"GBR","A","ECRATE",2023,"Q",2023,"GBP",68.224228
"GBR","A","SUBSID",2021,"Q",2023,"GBP",0
"GBR","A","SUBSID",2018,"Q",2023,"GBP",0
"GBR","A","MPERPRI",2023,"Q",2023,"GBP",12.894145
"GBR","A","MPERPRI",2021,"Q",2023,"GBP",14.374697
"GBR","A","MPERPRI",2018,"Q",2023,"GBP",4.7641687
"GBR","A","ECRATE",2021,"Q",2023,"GBP",82.434837
"GBR","A","ECRATE",2018,"Q",2023,"GBP",78.175964
"GBR","A","CARBTAX",2023,"Q",2023,"GBP",1.7949958
"GBR","A","CARBTAX",2021,"Q",2023,"GBP",2.0684271
"GBR","A","CARBTAX",2018,"Q",2023,"GBP",2.5161879
"GBR","A","NETECR",2023,"Q",2023,"GBP",24.861889
"GBR","A","NETECR",2021,"Q",2023,"GBP",82.434837
"GBR","A","NETECR",2018,"Q",2023,"GBP",78.175964
"GBR","A","FUETAX",2023,"Q",2023,"GBP",53.535084
"GBR","A","FUETAX",2021,"Q",2023,"GBP",65.991707
"ISR","A","ECRATE",2018,"Q",2023,"ILS",302.0018
"ISR","A","FUETAX",2023,"Q",2023,"ILS",243.11012
"ISR","A","FUETAX",2021,"Q",2023,"ILS",293.54916
"FRA","A","FUETAX",2021,"Q",2023,"EUR",58.741776
"FRA","A","FUETAX",2018,"Q",2023,"EUR",60.438503
"NLD","A","CARBTAX",2018,"Q",2023,"EUR",0
"NLD","A","CARBTAX",2023,"Q",2023,"EUR",0.26907489
"NLD","A","CARBTAX",2021,"Q",2023,"EUR",0
"BEL","A","ECRATE",2018,"Q",2023,"EUR",66.322227
"ISR","A","CARBTAX",2023,"Q",2023,"ILS",0
"ISR","A","SUBSID",2023,"Q",2023,"ILS",-4.8419619
"ISR","A","CARBTAX",2021,"Q",2023,"ILS",0
"ISR","A","CARBTAX",2018,"Q",2023,"ILS",0
"ISR","A","NETECR",2023,"Q",2023,"ILS",238.26816
"ISR","A","NETECR",2021,"Q",2023,"ILS",287.93478
"ISR","A","NETECR",2018,"Q",2023,"ILS",296.15414
"ISR","A","SUBSID",2021,"Q",2023,"ILS",-5.6143737
"ISR","A","SUBSID",2018,"Q",2023,"ILS",-5.8476596
"ISR","A","MPERPRI",2018,"Q",2023,"ILS",0
"ISR","A","MPERPRI",2023,"Q",2023,"ILS",0
"ISR","A","MPERPRI",2021,"Q",2023,"ILS",0
"ISR","A","ECRATE",2023,"Q",2023,"ILS",243.11012
"ISR","A","ECRATE",2021,"Q",2023,"ILS",293.54916
"SWE","A","NETECR",2023,"Q",2023,"SEK",1028.9604
"SWE","A","ECRATE",2023,"Q",2023,"SEK",1028.9604
"SWE","A","NETECR",2021,"Q",2023,"SEK",1118.2292
"SWE","A","NETECR",2018,"Q",2023,"SEK",1003.364
"SWE","A","MPERPRI",2023,"Q",2023,"SEK",317.25806
"SWE","A","MPERPRI",2021,"Q",2023,"SEK",211.65657
"SWE","A","MPERPRI",2018,"Q",2023,"SEK",75.13868
"SWE","A","ECRATE",2021,"Q",2023,"SEK",1118.2292
"SWE","A","ECRATE",2018,"Q",2023,"SEK",1003.364
"SWE","A","FUETAX",2023,"Q",2023,"SEK",299.91025
"SWE","A","FUETAX",2021,"Q",2023,"SEK",487.54156
"SWE","A","FUETAX",2018,"Q",2023,"SEK",506.90262
"SWE","A","CARBTAX",2018,"Q",2023,"SEK",421.32272
"SWE","A","CARBTAX",2023,"Q",2023,"SEK",411.79211
"SWE","A","CARBTAX",2021,"Q",2023,"SEK",419.03113
"SWE","A","SUBSID",2023,"Q",2023,"SEK",0
"SWE","A","SUBSID",2021,"Q",2023,"SEK",0
"USA","A","MPERPRI",2021,"Q",2023,"USD",1.4437348
"USA","A","MPERPRI",2018,"Q",2023,"USD",0.7245428
"USA","A","CARBTAX",2023,"Q",2023,"USD",0
"USA","A","CARBTAX",2021,"Q",2023,"USD",0
"USA","A","CARBTAX",2018,"Q",2023,"USD",0
"USA","A","NETECR",2023,"Q",2023,"USD",15.629513
"USA","A","FUETAX",2023,"Q",2023,"USD",13.286365
"USA","A","FUETAX",2021,"Q",2023,"USD",14.625321
"USA","A","FUETAX",2018,"Q",2023,"USD",14.990741
"USA","A","SUBSID",2023,"Q",2023,"USD",-0.19567659
"USA","A","SUBSID",2021,"Q",2023,"USD",-0.26632887
"USA","A","SUBSID",2018,"Q",2023,"USD",-0.22598888
"CAN","A","ECRATE",2018,"Q",2023,"CAD",38.736458
"CHE","A","FUETAX",2023,"Q",2023,"CHF",98.998352
"GBR","A","FUETAX",2018,"Q",2023,"GBP",70.895607
"ISR","A","FUETAX",2018,"Q",2023,"ILS",302.0018
"SWE","A","SUBSID",2018,"Q",2023,"SEK",0
"USA","A","ECRATE",2023,"Q",2023,"USD",15.82519
"USA","A","NETECR",2021,"Q",2023,"USD",15.802727
"USA","A","NETECR",2018,"Q",2023,"USD",15.489295
"USA","A","ECRATE",2021,"Q",2023,"USD",16.069056
"USA","A","ECRATE",2018,"Q",2023,"USD",15.715283
"USA","A","MPERPRI",2023,"Q",2023,"USD",2.538825
