year,jurisdiction,title,description,status,ISO3,country,topic,type,category,source
2020,National,Ten Point Plan for a Green Industrial Revolution - Point 7: Greener Buildings,"As part of the ten point plan, the UK will develop increase buildings' energy efficiency.  The plan will increase funding by 1 billion GBP by:- extending the Green Homes Grant for another year, - increasing spending within the Public Sector Decarbonisation Scheme, - upgrading heat systems in rural areas through the Homes Upgrade Grant, - committing further funding for the Social Housing Decarbonisation Fund to continue upgrading the least efficient social housing.  The policy will also:- implement Future Home Standard (70-80% lower emissions than today),- consult on increased standards for non-domestic buildings,- upgrade EE standards of household products, including by launching an improved Energy Technology List website.  and move away from - reform pricing and regulations to reinforce the shift from fossil fueled boilers, especially for off-grid homes (target for 600 000 heat pump installations per year by 2028) - extend Energy Company Obligations for energy efficiency and addressing fuel poverty to 2026- introduce mandatory disclosure requirements for lenders on the energy performance of homes on which they lend and setting voluntary improvement targets.  Expected results: - Help improve EE of around 2.8 million homes- leverage around 11 billion GBP of private investment in the 2020s - savings of 71 MtCO2e between 2023 and 2032, or 16% of 2018 UK emissions 2021: set out Heat and Buildings Strategy 2021: Launch a world class energy related products policy framework. Push for products to use less energy, resources and materials, saving carbon and helping households and businesses to reduce their energy bills with minimum effort. By 2032: ensure that the public sector has reduced its direct emissions by 50% compared to a 2017 baseline.   ",In force,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.gov.uk/government/publications/the-ten-point-plan-for-a-green-industrial-revolution/title
1991,National,Government Bill 1991/92 - Sweden carbon tax,"Sweden introduced a carbon tax in 1991. At the time, the price was SEK 250 (EUR 24) per tonne, and it has since increased to SEK 1 200 (EUR 114) in 2021. Before making any adjustments to its carbon pricing mechanism, the government in Sweden identifies groups that will be most impacted, and targets communication of the policy changes to their concerns. The gradual increase of the tax level also means that households and businesses are given enough time to adapt, which has improved the political feasibility of the increases and promoted trust in the carbon price. Any increase has also typically been combined with general tax relief in other areas for households and firms to avoid increases in the overall level of taxation, address undesirable distributional consequences and stimulate job growth.",In force,SWE,Sweden,"Transport,Buildings,Industry,Power","Carbon pricing instruments,Regulations",Carbon tax,https://www.government.se/government-policy/swedens-carbon-tax/
2021,National,Consolidated Appropriations Act,"The bill contains measures to address climate change, such as limiting the use of a potent greenhouse gas in refrigerants and extending tax incentives for wind and solar energy. The bill provides USD 1.4 trillion to fund the US government through September 2021 as well as a USD 900 billion coronavirus aid package. Energy provisions contained in the bill include: - extending the 26% investment tax credit for solar systems on residential and commercial through 2023 and then continuing with the phasedown to 22% in 2024 and 10% in 2025- extending the onshore wind production tax credit by 1 year- extending tax credits by two years for fuel cell vehicles, biofuels, and alternative fuel infrastructure- extending through 2025 (two additional years) tax credits awarded on a per-ton basis for carbon dioxide that is sequestered- providing USD 90 million in grants for replacing older diesel-powered vehicles and equipment with cleaner-burning models, USD 3 million more funding from FY 2020. - provisions for mandatory reporting of methane emissions from animal manure- allowing the commercial building energy efficiency tax deduction, with the credit indexed to inflation and updated efficiency standards.- Requiring US companies to reduce the production of hydrofluorocarbons (HFCs) to 15% of 2012 levels by 2036. - extending DOE National Lab funding and increasing total spending by USD 1 billion- extending for five years the 9 cents per barrel tax on oil that funds the Oil Spill Liability Trust Fund",Ended,USA,United States,"Transport,Buildings,Power","Government spending for energy-efficient buildings,Incentives and investments,Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments","Existing buildings,Medium/Heavy-duty vehicles,Nuclear,Solar PVs,Wind turbines",https://www.congress.gov/bill/116th-congress/house-bill/133/text
2020,National,Municipal Energy Roadmap,"As part of the Green Municipal Fund initiative, the Municipal Energy Roadmap is a decision-support tool that provides strategic advice to find the most impactful solutions to reduce greenhouse gas (GHG) emissions. It will help municipalities: discover solutions for energy efficiency in municipal, commercial, and residential buildings; learn about solutions for community sustainable energy generation; implement strategies to drive these solutions forward. The initiative is part of the Green Municipal Fund, a CAD 1 billion program funded by the Government of Canada and delivered by the Federation of Canadian Municipalities.",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.canada.ca/en/office-infrastructure/news/2020/07/new-green-municipal-fund-tool-drives-energy-efficiency.html
2020,National,Infrastructure projects in the energy and water economies: 5. Action plan for an energy-efficient urban space,"In response to the Covid-19 crisis, Israel's Ministry of Energy has identified 10 project areas to accelerate investment and support the economic recovery through ILS 25 billion of investment.   Among these policies, the fifth identified project area is an ILS 300 million action plan for energy efficient urban spaces in cities. This plan will enable the promotion of an efficient and clean energy environment, reduce urban pollution, help with tackling the climate crisis, incentivising innovation, adopting new technologies (smart homes, electrification of buildings in the city), economic savings and more. The project is expected to provide additional centres of energy resilience, to ensure the regular supply of electricity in the case of an emergency.",In force,ISR,Israel,Buildings,"Government spending for energy-efficient buildings,Incentives and investments","Existing buildings,New buildings",https://www.gov.il/BlobFolder/reports/economic_growth/en/economic_growth_en.pdf
2020,National,A Healthy Environment and a Healthy Economy - Buildings energy efficiency,"One of the five pillars of Canada's CAD 15 billion strengthened climate policy announced in December 2020 is focused on energy efficiency in buildings: Making the Places Canadians Live and Gather More Affordable by Cutting Energy Waste.Together, homes and buildings account for 13% of Canada’s greenhouse gas emissions. Electricity use for cooling, lighting and appliances brings the total to 18%. Constructing and renovating buildings creates jobs and lowers energy bills. Canadians also benefit from efforts to develop and deploy cutting-edge technologies that result in cleaner indoor air, higher resale values for homes and buildings, and less of an impact on their shared environment. This plan includes a focus on energy efficiency through: - CAD 2.6 billion over seven years for home retrofits under the Greener Homes initiative to provide up to 700 000 grants of up to CAD 5000 for home retrofits as well as supporting home energy assessments to advise on upgrades- CAD 1.5 billion over three years for municipal and community buildings- Stringent targets for embodied carbon and operational emissions for Government of Canada buildings - Commercial and large-scale building retrofits will be supported through the Canada Infrastructure Bank's CAD 2 billion energy efficiency retrofit fund- Investing in the tools to build a retrofit economy- Long-term infrastructure planning",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments","Existing buildings,New buildings",https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/climate-plan/healthy_environment_healthy_economy_plan.pdf
2021,National,Funding in microelectronic research,"The Department of Energy (DOE) has announced USD 54 million of funding for the DOE's National Laboratories to advance research in microelectronics. National Laboratories may apply for the three-year awards, to be selected based on peer review. Up to USD 36 million of the USD 54 million is contingent on congressional appropriations.",In force,USA,United States,Buildings,"Government spending for efficient or cleaner technologies,Incentives and investments",Not applicable,https://www.energy.gov/articles/doe-announces-54-million-microelectronics-research-power-next-generation-technologies
2021,National,Community Buildings Retrofit (CBR) initiative,"In April 2021, the Canadian Government launched the Community Buildings Retrofit initiative. Funded by a $167-million federal investment in the Federation of Canadian Municipalities' Green Municipal Fund, this programme will support Canadian municipalities and not-for-profit organizations to carry out retrofits and other upgrades to lower emissions by improving energy performance, lowering operating costs and extending the life of community buildings, such as arenas, pools, libraries and recreation and cultural centres. The Community Buildings Retrofit initiative will provide grants and loans to fund a portion of each project and expects to disburse the full funding envelope over the next six years, expecting to see the first capital projects approved before the end of 2021–22. This new initiative is part of a $950-million federal investment in the Green Municipal Fund designed to scale up energy efficiency and lower emissions across Canada.",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.canada.ca/en/natural-resources-canada/news/2021/04/canada-and-fcm-combat-climate-change-by-investing-in-retrofits-for-community-buildings.html
2021,National,National Plan for Recovery and Resilience - Component 1.1: Renovation of buildings,"Component 1.1 of the Belgian National Plan for Recovery and Resilience targets public and private building renovation (notably social housing) to improve energy efficiency. A public budget of 1,578 million EUR is allocated to this component to directly finance renovations, or to implement a revised regime of targeted subsidies. ",In force,BEL,Belgium,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://dermine.belgium.be/sites/default/files/articles/FR%20-%20Plan%20national%20pour%20la%20reprise%20et%20la%20re%CC%81silience.pdf
2021,National,National Plan for Recovery and Resilience - Component 1.2: Emerging energy technologies,"Axis 1 of the Belgian National Plan for Recovery and Resilience targets climate, sustainability and innovation. Component 1.2 aims at supporting emerging energy technologies, with two main regulation streams: - encouragements to the development of non-fossil based hydrogen and carbon markets,  - a reform of fossil fuel subsidies,  Six main investments are planned: - Hydrogen and CO2 infrastructure - Value chain for hydrogen economy  - Development of low emission industry  - Platform for research in energy transition technologies  - Network for renewable heat EUR  - Offshore energy island A public budget of EUR 2,104 million is allocated to this component.",In force,BEL,Belgium,"Buildings,Power","Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments","Existing buildings,Hydro,Wind turbines",https://dermine.belgium.be/sites/default/files/articles/FR%20-%20Plan%20national%20pour%20la%20reprise%20et%20la%20re%CC%81silience.pdf
2021,National,Recovery and resilience plan / Energy renovation of buildings/ Investments in energy renovation of buildings,"As part of the French Resilience and Recovery plan, EUR 6.7 billion were earmarked for measures specifically dedicated to energy upgrades, in an effort to reduce emissions and improve the energy efficiency in buildings. These measures include:  - MaPrimeRénov' programme for private households (2021-2022), to improve buildings, in particular energy upgrades as well as creating jobs in building renovations. - Upgrading public sector buildings, responsible for 25% of residential emissions in France. Part of the funding will be delegated to regions. - Energy efficiency upgrades for social housing (notably heating system improvements).  - Energy renovation of SMEs, to improve thermal insulation and energy efficiency.  ",Ended,FRA,France,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.economie.gouv.fr/files/files/directions_services/plan-de-relance/PNRR%20Francais.pdf
2021,National,Sweden's Recovery Plan / energy efficiency of apartment buildings,"This is the third component of the green recovery measures of Sweden's recovery and resilience plan. According to current proposals to the regulation, support is given to apartment buildings with an energy performance which, expressed as a primary energy figure, exceeds 100 kWh / m2, and year and for energy efficiency measures that improve the overall building's energy performance by at least 20 percent. The estimate of the target is based on the assumption of an annual renovation rate of three percent.     By 2023, support will have been granted for projects involving a total of 2 850 000 square meters.The total cost for 2021–2023 amounts to SEK 4.05 billion from RRF.",In force,SWE,Sweden,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.regeringen.se/49bfc1/contentassets/dad10f1743b64c78a1c5b2d71f81a6eb/sveriges-aterhamtningsplan.pdf
2021,National,Investments for household energy efficiency,"Over 44 million GBP of funding will be allocated to cut emissions from buildings and help households save on energy bills. The investment is expected to cut carbon emissions by 22% for homes and buildings, whilst providing potential reductions of up to 15% in energy costs.  30 million GBP will fund 3 innovative heat network projects in London, Manchester and Cambridgeshire, and a further 14.6 million GBP announced will benefit 11 projects in England, Scotland and Wales. The funding will be invested in exploring ways the UK can develop and use efficient, low-carbon technologies for heating and cooling buildings.  The investments are tied to the government's Heat and Buildings Strategy, which will set out how carbon emissions in homes and workspaces will be addressed to meet legal commitments over achieving net zero emissions 2050.  ",Ended,GBR,United Kingdom,Buildings,"Government spending for efficient or cleaner technologies,Incentives and investments",Not applicable,https://www.gov.uk/government/news/44-million-cash-boost-to-cut-emissions-from-buildings-and-help-households-save-on-energy-bills
2023,National,Resolution 286 on pricing of greenhouse gas emissions,"The government of Israel announced the plan to introduce a carbon tax at slowly increasing level from 2023 to 2028 through a statement approved by the Tax Authority and the Finance, Energy, Environmental Protection and Economy ministries.  The nation’s first carbon tax will be applied to coal, liquified petroleum gas, fuel oil, petcoke and gas and is expected to cover about 80% of greenhouse gas emissions by 2028. However, the tax would not be introduced if the electricity price would rise by more than 5% through 2028. Additionally, diesel and gasoline will not be taxed any further as part of the scheme, due to existing levies.  At a later stage, the tax will cover the emissions from other sources of global warming gases, such as garbage dumps, responsible for 8% of Israel’s GHG emissions, and cooling gases used in air conditioning systems, refrigerators, and refrigerated vehicles, which account for 7% of GHG emissions.",Announced,ISR,Israel,"Transport,Buildings,Industry,Power","Carbon pricing instruments,Regulations",Carbon tax,https://www.gov.il/he/departments/policies/dec286_2021
2022,National,Net Zero Strategy - Heat Pumps Ready Programme,"The UK government invested an additional £60 million into heat pump innovation as part of the net zero innovation portfolio, making them more beautiful, smaller, and easier to install.It is part of the UK's plan to install 600,000 heat pumps per year by 2028 and expand UK manufacturing.  The Heat Pump Ready Programme is split into 3 separate delivery streams: Stream 1: solutions for high-density heat pump deployment. Up to £30 million of Small Business Research Initiative (SBRI) funding from spring 2022 to support the development and trial of solutions and methodologies for the optimised deployment of domestic heat pumps at high-density. Stream 2: developing tools and technology. Up to £25 million of grant funding for projects to overcome barriers to heat pump deployment, beginning spring 2022 Stream 3: trial support and learning. Up to £5 million contract from spring 2022 to provide support to ensure knowledge transfer and shared learning across the Heat Pump Ready Programme. This stream will provide support to the Stream 1 projects, joining-up Stream 2 technology and tools with their the Stream 1 projects where relevant and establishing working groups to collaborate on shared elements of deployment.",Ended,GBR,United Kingdom,Buildings,"Government spending for efficient or cleaner technologies,Incentives and investments",Not applicable,https://www.gov.uk/government/publications/heat-pump-ready-programme/information-about-the-heat-pump-ready-programme
2021,National,Infrastructure and Jobs act: Energy Efficiency,"As part of the U.S. Infrastructure Investment and Jobs Act, measures related to Energy Efficiency coming from Title V Energy Efficiency and Building infrastructure represent a total budget of $1.025 billion.-Energy Efficiency Revolving Loan Fund Capitalization Grant program to conduct commercial or residential energy audits or upgrades and retrofits: USD 250 million -Competitive grant program within the Building Technologies Office to enable sustained, cost-effective implementation of updated building energy codes: USD 225 million-Award grants to nonprofits to equip their buildings with energy-efficiency materials: USD 50 million-Competitive grant program for schools to make EE improvements, install renewable energy, install alternative vehicle charging/fueling infrastructure: USD 500 million",In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.congress.gov/bill/117th-congress/house-bill/3684/text
2022,National,Greener Neighbourhood Pilot Program,"The Greener Neighbourhood Pilot Program aims to provide energy efficient retrofits to groupings of buildings at the same time. CAD 33.2 million is provided over 5 years to Natural Resources Canada to implement this program in up to 6 community housing neighbourhoods, in order to promote energy efficiency. ",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",New buildings,https://budget.gc.ca/2022/report-rapport/chap1-en.html
2022,National,Deep Retrofit Accelerator Initiative,"The Deep Retrofit Accelerator Initiative aims to provide support for retrofit audits, and projects that accelerate the pace of deep retrofits in Canada. CAD 200 million is provided over 5 years to Natural Resources Canada to improve energy efficiency through retrofits with a focus on low income affordable housing. ",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://natural-resources.canada.ca/energy-efficiency/buildings/deep-retrofit-accelerator-initiative/24925
2022,National,Support for greener homes loan and grants programmes under 2030 Emissions Reduction Plan ,"Under the 2030 Emissions reduction plan, additional provisions will be provided for the Greener Homes Loan Program. CAD 458.5 million is made available to help Canadians reduce emissions through renovations for heating and cooling systems.  The Canada Greener Homes Grant offers up to $5,000 to help homeowners cover the costs of eligible energy-efficient home retrofits, plus up to $600 for pre- and post-retrofit EnerGuide evaluations. The Canada Greener Homes Loan provides interest-free financing up to $40,000 for homeowners to undertake energy-efficient upgrades recommended by an energy advisor.",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for efficient or cleaner technologies,Incentives and investments","Existing buildings,Not applicable",https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030/plan/annex-8.html
2022,National,Package to tackle the energy price crisis ,"In an effort to cushion domestic consumers from the effects of the global energy crisis, the Swedish government has enacted the following measures as an amendment to its 2022 budget:The tax on diesel and petrol is temporarily reduced from June to October 2022.A new fuel compensation is introduced for private individuals.Funding for energy efficiency improvements and renovation of apartment buildings and outdoor environments.Additional funds are allocated to the climate bonus appropriation incentivising the purchase of electric vehicles.the GDP indexation of diesel and petrol is paused.",In force,SWE,Sweden,"Transport,Buildings","Government spending for energy-efficient buildings,Incentives and investments,Government spending for low-emissions and efficient transport,Incentives and investments","Existing buildings,Light-duty vehicles",https://www.riksdagen.se/sv/dokument-lagar/arende/betankande/extra-andringsbudgetar-for-2022--stod-till_H901FiU48
2022,State/Provincial,Canada invests CAD 2 million in energy efficiency for buildings in Ontario ,"Canadian government will invest over CAD 2 million to three residential building projects in Ontario to improve energy efficiency. The federal funding comes from Natural Resources Canada’s Green Infrastructure – Energy Efficient Buildings Program, which serves to improve homes and buildings in terms of design, renovation and construction. The government is also developing a Green Buildings Strategy, targeting increased building retrofits rate, resilient and net-zero ready buildings, and future systematic change in the buildings sector.  ",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.canada.ca/en/natural-resources-canada/news/2022/07/canada-invests-in-energy-efficiency-for-buildings-in-ontario.html
2022,National,"Inflation Reduction Act 2022: Sec. 13301 Extension, Increase, and Modifications of Non-business Energy Property Credit Energy Property Credit",The U.S. Inflation Reduction Act of 2022 extends the existing tax credit for residential energy efficiency improvements and expenses and increases the credit value for certain heat and cooking sources.,In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for efficient or cleaner technologies,Incentives and investments","Existing buildings,Not applicable",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 13303 Energy Efficient Commercial Buildings Deduction,The U.S. Inflation Reduction Act of 2022 amends energy efficient commercial building tax deduction to decrease stringency of efficiency standards and outlines the value of deductions for various groups.,In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,"Inflation Reduction Act 2022: Sec. 13304 Extension, Increase, and Modifications of New Energy Efficient Home Credit",The U.S. Inflation Reduction Act of 2022 extends a tax credit for contractors who build and sell energy-efficient homes and for homes that meet various Energy Star efficiency standards.,In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",New buildings,https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 22002 Rural Energy for America Program,"The U.S. Inflation Reduction Act of 2022 allocates USD 1.977 billion to fund up to 50% of projects eligible under section 9007 of the Farm Security and Rural Investment Act of 2002, especially those boosting applications of underutilized renewable energy technologies.",In force,USA,United States,"Buildings,Power","Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments","Existing buildings,Solar PVs,Wind turbines",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 22004 USDA Assistance for Rural Electric Cooperatives,"The U.S. Inflation Reduction Act of 2022 allocates USD 9.7 billion in funding for rural electricity cooperatives to reduce greenhouse gas emissions, increase energy efficiency, and improve accessibility and resiliency.",In force,USA,United States,"Buildings,Power","Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments","Existing buildings,Solar PVs,Wind turbines",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 30002 Improving Energy Efficiency or Water Efficiency or Climate Resilience of Affordable Housing,"The U.S. Inflation Reduction Act of 2022 allocates USD 1 billion to the Secretary of Housing and Urban Development to fund sustainability improvements in affordable housing, including electrification, energy and water efficiency improvements, and climate resiliency measures.",In force,USA,United States,"Buildings,Power","Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments","Existing buildings,Solar PVs,Wind turbines",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 40001 Investing in Coastal Communities and Climate Resilience,"The U.S. Inflation Reduction Act of 2022 allocates USD 2.6 billion to the National Oceanic and Atmospheric Administration (NOAA) to fund climate resiliency measures, conservation, and restoration of coastal and marine areas.",In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments","Existing buildings,New buildings",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,"Inflation Reduction Act 2022: Sec. 50121 Home Energy Performance-Based, Whole-House Rebates",The U.S. Inflation Reduction Act of 2022 allocates USD 4.3 billion for grants to state energy offices to create and carry out Home Owner Managing Energy Savings (HOMES) programs that provide rebates for energy-saving efficiency retrofits in homes.,In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
2022,National,Inflation Reduction Act 2022: Sec. 50122 High-Efficiency Electric Home Rebate Program,"The U.S. Inflation Reduction Act of 2022 allocates USD 4.5 billion for states and Indian Tribes to create and carry out rebate programs for efficiency improvements and electrification in homes, including via retrofits and appliance upgrades.",In force,USA,United States,Buildings,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for efficient or cleaner technologies,Incentives and investments","Existing buildings,Not applicable",https://www.govinfo.gov/content/pkg/BILLS-117hr5376enr/pdf/BILLS-117hr5376enr.pdf
